ArgoUML-0.34-src,195032,SUM,19614083
Compiere_330_Source,366888,MEDIAN,60667
FitLibrary20100806,36523,,
JGroups-2,99096,,
Vuze_4812_source,497388,,
antlr4-4.0,35851,,
aoisrc281,208932,,
apache-ant-1.8.4,129330,,
apache-jmeter-2.9,106267,,
apache-log4j-1.2.16,34826,,
apache-maven-3.0,56053,,
apache-roller-4.0.1,84100,,
apache-tomcat-7.0.2,187624,,
aspectj-1.6.9-src,520625,,
axion-1.0-M2-src,25018,,
batik-src-1.7,200171,,
c-jdbc-2,81775,,
castor-1,175459,,
cayenne-3,196652,,
checkstyle-src-5,46137,,
cobertura-1,60667,,
colt-1,40682,,
columba-1,75104,,
commons-collections-3,55738,,
db-derby-10,597808,,
displaytag-1,17014,,
drawswf-src-1,27340,,
drjava-stable-20100913-r5387-src,100499,,
eXoPortal-v1,98574,,
eclipse_SDK,3000776,,
emma-2,20612,,
findbugs-1,116486,,
fit-java-1,5895,,
freecol-0,117550,,
freecs-1,23974,,
freemind-src-0,54330,,
galleon-2,33974,,
ganttproject-2,48913,,
geotools-2,743349,,
hadoop-1,285154,,
heritrix-1,65104,,
hibernate-release-4,435068,,
hsqldb-2,149985,,
htmlunit-2,99629,,
iReport-3,202272,,
iText-src-5,80492,,
informa-0,14006,,
ivatagroupware-src-0,24747,,
jFin_DateMath_R1_0_1_src,8064,,
jOggPlayer114s,22506,,
jag-6,15748,,
james-2,41423,,
jasml_0,5805,,
jasperreports-3,160573,,
javacc-5,21802,,
jboss-5,475128,,
jchempaint-src-3,218211,,
jedit4,99565,,
jena-2,69484,,
jext-sources-5,56068,,
jfreechart-1,140240,,
jgraph-latest-bsd-src,32488,,
jgraphpad-5,24593,,
jgrapht-0,15465,,
jhotdraw-7.5.1,79883,,
jmoney-0,8460,,
jparse,24656,,
jpf-src-1,13529,,
jrefactory-2.9.19,165837,,
jruby-1.5.2,177199,,
jspwiki-2.8.4,50458,,
jstock-1.0.7c,48629,,
jsxe-04_beta,18051,,
jtopen_7_1,301809,,
jung2-2_0_1,37563,,
junit-4,7450,,
lucene-4.3.0,428021,,
marauroa-3.8.1,17748,,
megamek-0.35.18,243295,,
mvnforum-1.2.2-mvnad-1.0.1,104570,,
myfaces-core-2.0.2,200437,,
nakedobjects-4.0.0,143986,,
nekohtml-1.9.14,7592,,
netbeans-6.9.1-201007282301,4266866,,
openjms-0.7.7-beta-1,39486,,
oscache-2.4.1,9016,,
picocontainer-2.10.2,9276,,
pmd-4.2.5,64855,,
poi-3.6-20091214,195696,,
pooka_080505,45992,,
proguard4.5.1,46871,,
quartz-1.8.3,28694,,
quickserver1.4.7,19153,,
quilt-0.6-a-5,8164,,
rssowl-2.0.5,104054,,
sablecc-3.2,23395,,
sandmark,97275,,
shiftone-jrat-0,12880,,
spring-framework-3.0.5,326268,,
squirrel_sql,5540,,
struts2-2.2.1-all,144973,,
sunflow-src-v0.07.2,23222,,
tapestry-src-5.1.0.5,85587,,
trove-2.1.0,5893,,
velocity-1.6.4,32913,,
wct-package-v1.5.2,51030,,
webmail-0.7.10,10257,,
weka-3-7-9,265294,,
xalan-j_2_7_1,186549,,
xerces-J-2.10.0,124032,,
xmojo-5.0.0,15027,,
